时间 消耗/获得 物品名称 数量 物品位置 主属性 用途
大号
06-23 13:43 获得 针女 1 六号位6星 攻击加成 
06-23 01:16 获得 钟灵 1 二号位5星 攻击加成 御魂副本
06-23 01:12 获得 日女巳时 1 一号位5星 攻击 御魂副本
06-23 01:10 获得 日女巳时 1 一号位5星 攻击 御魂副本
06-23 01:08 获得 镜姬 1 一号位5星 攻击 御魂副本
06-23 01:06 获得 钟灵 1 六号位5星 生命加成 御魂副本
06-23 01:06 获得 日女巳时 1 五号位5星 生命 御魂副本
06-23 01:02 获得 日女巳时 1 四号位5星 效果抵抗 御魂副本
06-23 01:01 获得 日女巳时 1 二号位5星 攻击加成 御魂副本
06-23 01:01 获得 镜姬 1 三号位5星 防御 御魂副本
06-23 01:00 获得 破势 1 三号位5星 防御 御魂副本
06-23 00:58 获得 镜姬 1 三号位5星 防御 御魂副本
06-23 00:57 获得 破势 1 五号位5星 生命 御魂副本
06-23 00:50 获得 钟灵 1 一号位5星 攻击 御魂副本
06-23 00:49 获得 破势 1 四号位5星 攻击加成 御魂副本
06-23 00:49 获得 钟灵 1 五号位5星 生命 御魂副本
06-23 00:46 获得 镜姬 1 二号位5星 防御加成 御魂副本
06-23 00:40 获得 日女巳时 1 六号位5星 攻击加成 御魂副本
06-23 00:33 获得 镜姬 1 三号位5星 防御 御魂副本
06-23 00:31 获得 钟灵 1 三号位5星 防御 御魂副本
06-23 00:31 获得 破势 1 二号位5星 速度 御魂副本
06-23 00:30 获得 日女巳时 1 三号位5星 防御 御魂副本
06-23 00:27 获得 日女巳时 1 四号位5星 生命加成 御魂副本
06-23 00:27 获得 破势 1 一号位5星 攻击 御魂副本
06-23 00:25 获得 镜姬 1 五号位5星 生命 御魂副本
06-23 00:24 获得 钟灵 1 五号位5星 生命 御魂副本
06-23 00:21 获得 破势 1 四号位5星 效果抵抗 御魂副本
林狗
06-23 01:18 获得 日女巳时 1 三号位5星 防御 御魂副本
06-23 01:17 获得 钟灵 1 五号位5星 生命 御魂副本
06-23 01:15 获得 日女巳时 1 一号位5星 攻击 御魂副本
06-23 01:15 获得 破势 1 四号位5星 生命加成 御魂副本
06-23 01:15 获得 钟灵 1 六号位6星 暴击 御魂副本
06-23 01:12 获得 日女巳时 1 五号位5星 生命 御魂副本
06-23 01:11 获得 破势 1 四号位5星 防御加成 御魂副本
06-23 01:11 获得 镜姬 1 一号位5星 攻击 御魂副本
06-23 01:10 获得 破势 1 五号位5星 生命 御魂副本
06-23 01:10 获得 日女巳时 1 二号位5星 攻击加成 御魂副本
06-23 01:08 获得 镜姬 1 一号位5星 攻击 御魂副本
06-23 01:07 获得 破势 1 二号位5星 生命加成 御魂副本
06-23 01:07 获得 日女巳时 1 三号位5星 防御 御魂副本
06-23 01:03 获得 镜姬 1 五号位5星 生命 御魂副本
06-23 01:02 获得 钟灵 1 三号位5星 防御 御魂副本
06-23 01:01 获得 日女巳时 1 三号位5星 防御 御魂副本
06-23 01:00 获得 镜姬 1 二号位5星 生命加成 御魂副本
06-23 00:58 获得 破势 1 二号位5星 防御加成 御魂副本
06-23 00:52 获得 钟灵 1 四号位5星 生命加成 御魂副本
06-23 00:50 获得 钟灵 1 一号位6星 攻击 御魂副本
06-23 00:49 获得 钟灵 1 六号位5星 攻击加成 御魂副本
06-23 00:48 获得 钟灵 1 二号位5星 速度 御魂副本
06-23 00:48 获得 日女巳时 1 三号位5星 防御 御魂副本
06-23 00:48 获得 破势 1 二号位5星 生命加成 御魂副本
06-23 00:48 获得 日女巳时 1 三号位5星 防御 御魂副本
06-23 00:45 获得 镜姬 1 五号位5星 生命 御魂副本
06-23 00:45 获得 破势 1 二号位5星 速度 御魂副本
06-23 00:44 获得 破势 1 四号位5星 攻击加成 御魂副本
06-23 00:44 获得 日女巳时 1 一号位5星 攻击 御魂副本
06-23 00:40 获得 日女巳时 1 五号位5星 生命 御魂副本
06-23 00:36 获得 日女巳时 1 二号位5星 防御加成 御魂副本
06-23 00:34 获得 镜姬 1 三号位5星 防御 御魂副本
06-23 00:33 获得 日女巳时 1 一号位5星 攻击 御魂副本
06-23 00:32 获得 日女巳时 1 二号位5星 生命加成 御魂副本
06-23 00:30 获得 日女巳时 1 一号位5星 攻击 御魂副本
06-23 00:27 获得 破势 1 二号位5星 攻击加成 御魂副本
06-23 00:25 获得 破势 1 六号位5星 攻击加成 御魂副本
06-23 00:24 获得 日女巳时 1 六号位6星 防御加成 御魂副本
06-23 00:24 获得 日女巳时 1 一号位5星 攻击 御魂副本
06-23 00:22 获得 日女巳时 1 六号位5星 攻击加成 御魂副本
06-23 00:21 获得 钟灵 1 四号位5星 生命加成 御魂副本
06-23 00:21 获得 日女巳时 1 二号位5星 速度 御魂副本
06-23 00:20 获得 日女巳时 1 三号位5星 防御 御魂副本
06-23 00:20 获得 日女巳时 1 六号位5星 防御加成 御魂副本
06-23 00:16 获得 反枕 1 四号位6星 生命加成 商店兑换
06-23 00:02 获得 钟灵 1 六号位5星 生命加成 御魂副本
06-23 00:01 获得 破势 1 一号位5星 攻击 御魂副本
