时间 消耗/获得 物品名称 数量 物品位置 主属性 用途
大号
07-24 19:34 获得 薙魂 1 一号位6星 攻击 
07-24 19:34 获得 狰 1 一号位6星 攻击 
07-24 19:32 获得 反枕 1 二号位5星 攻击加成 鬼王奖励
07-24 19:32 获得 火灵 1 五号位5星 生命 鬼王奖励
07-24 01:01 获得 反枕 1 六号位5星 攻击加成 石距获得
07-24 00:52 获得 网切 1 二号位5星 攻击加成 御魂副本
07-24 00:52 获得 鸣屋 1 三号位5星 防御 御魂副本
07-24 00:51 获得 地藏像 1 三号位5星 防御 御魂副本
07-24 00:51 获得 网切 1 五号位5星 生命 御魂副本
07-24 00:51 获得 地藏像 1 二号位5星 攻击加成 御魂副本
07-24 00:51 获得 网切 1 二号位5星 攻击加成 御魂副本
07-24 00:49 获得 雪幽魂 1 四号位5星 生命加成 御魂副本
07-24 00:47 获得 雪幽魂 1 三号位5星 防御 御魂副本
07-24 00:47 获得 雪幽魂 1 一号位6星 攻击 御魂副本
07-24 00:43 获得 网切 1 三号位5星 防御 御魂副本
07-24 00:42 获得 鸣屋 1 三号位5星 防御 御魂副本
07-24 00:40 获得 网切 1 二号位5星 速度 御魂副本
07-24 00:39 获得 雪幽魂 1 五号位5星 生命 御魂副本
07-24 00:39 获得 网切 1 五号位5星 生命 御魂副本
07-24 00:37 获得 雪幽魂 1 五号位5星 生命 御魂副本
07-24 00:36 获得 地藏像 1 三号位6星 防御 御魂副本
07-24 00:35 获得 网切 1 三号位5星 防御 御魂副本
07-24 00:34 获得 地藏像 1 四号位5星 防御加成 御魂副本
07-24 00:32 获得 地藏像 1 三号位5星 防御 御魂副本
07-24 00:31 获得 雪幽魂 1 二号位5星 防御加成 御魂副本
07-24 00:31 获得 雪幽魂 1 三号位5星 防御 御魂副本
07-24 00:29 获得 地藏像 1 一号位5星 攻击 御魂副本
07-24 00:29 获得 鸣屋 1 四号位6星 生命加成 御魂副本
07-24 00:28 获得 网切 1 二号位5星 生命加成 御魂副本
07-24 00:27 获得 网切 1 六号位5星 暴击伤害 御魂副本
07-24 00:03 获得 蚌精 1 四号位6星 生命加成 商店兑换
林狗
07-24 20:38 获得 招财猫 1 一号位5星 攻击 石距获得
07-24 20:38 获得 阴摩罗 1 三号位5星 防御 石距获得
07-24 20:38 获得 招财猫 1 四号位5星 生命加成 石距获得
07-24 20:38 获得 阴摩罗 1 五号位5星 生命 石距获得
07-24 20:05 获得 破势 1 六号位6星 攻击加成 神秘商店购买
07-24 19:24 获得 日女巳时 1 一号位6星 攻击 鬼王奖励
07-24 19:24 获得 镜姬 1 一号位6星 攻击 鬼王奖励
07-24 19:03 获得 日女巳时 1 五号位5星 生命 石距获得
07-24 19:03 获得 雪幽魂 1 四号位5星 生命加成 石距获得
07-24 19:03 获得 破势 1 四号位5星 生命加成 石距获得
07-24 19:03 获得 涅槃之火 1 三号位6星 防御 石距获得
07-24 12:37 获得 狰 1 六号位5星 防御加成 石距获得
07-24 12:37 获得 阴摩罗 1 二号位5星 生命加成 石距获得
07-24 01:21 获得 返魂香 1 四号位5星 攻击加成 业原火副本获得
07-24 01:17 获得 木魅 1 六号位5星 攻击加成 业原火副本获得
07-24 01:17 获得 鸣屋 1 四号位5星 攻击加成 业原火副本获得
07-24 01:17 获得 返魂香 1 五号位6星 生命 业原火副本获得
07-24 01:17 获得 薙魂 1 二号位5星 生命加成 业原火副本获得
07-24 01:15 获得 雪幽魂 1 一号位5星 攻击 业原火副本获得
07-24 01:15 获得 返魂香 1 二号位6星 攻击加成 业原火副本获得
07-24 01:15 获得 薙魂 1 三号位5星 防御 业原火副本获得
07-24 01:15 获得 返魂香 1 一号位5星 攻击 业原火副本获得
07-24 01:12 获得 返魂香 1 三号位5星 防御 业原火副本获得
07-24 01:12 获得 返魂香 1 二号位5星 防御加成 业原火副本获得
07-24 01:12 获得 薙魂 1 二号位6星 攻击加成 业原火副本获得
07-24 01:12 获得 木魅 1 一号位5星 攻击 业原火副本获得
07-24 01:10 获得 地藏像 1 六号位5星 生命加成 业原火副本获得
07-24 01:10 获得 鸣屋 1 二号位5星 防御加成 业原火副本获得
07-24 01:10 获得 返魂香 1 三号位6星 防御 业原火副本获得
07-24 01:10 获得 木魅 1 五号位5星 生命 业原火副本获得
07-24 00:52 获得 网切 1 三号位5星 防御 御魂副本
07-24 00:51 获得 网切 1 三号位5星 防御 御魂副本
07-24 00:48 获得 鸣屋 1 五号位5星 生命 御魂副本
07-24 00:47 获得 网切 1 四号位5星 防御加成 御魂副本
07-24 00:42 获得 地藏像 1 二号位5星 攻击加成 御魂副本
07-24 00:41 获得 鸣屋 1 一号位5星 攻击 御魂副本
07-24 00:40 获得 地藏像 1 三号位5星 防御 御魂副本
07-24 00:40 获得 鸣屋 1 五号位5星 生命 御魂副本
07-24 00:40 获得 地藏像 1 二号位5星 防御加成 御魂副本
07-24 00:39 获得 雪幽魂 1 三号位6星 防御 御魂副本
07-24 00:39 获得 网切 1 五号位6星 生命 御魂副本
07-24 00:37 获得 雪幽魂 1 六号位5星 生命加成 御魂副本
07-24 00:35 获得 网切 1 四号位5星 生命加成 御魂副本
07-24 00:34 获得 鸣屋 1 六号位5星 防御加成 御魂副本
07-24 00:32 获得 雪幽魂 1 二号位5星 防御加成 御魂副本
07-24 00:32 获得 鸣屋 1 四号位5星 攻击加成 御魂副本
07-24 00:31 获得 雪幽魂 1 一号位5星 攻击 御魂副本
07-24 00:27 获得 网切 1 一号位5星 攻击 御魂副本
07-24 00:07 获得 蝠翼 1 二号位5星 攻击加成 石距获得
07-24 00:07 获得 阴摩罗 1 六号位5星 暴击伤害 石距获得
07-24 00:04 获得 魅妖 1 六号位6星 生命加成 商店兑换
