时间  消耗/获得 御魂名称  御魂等级  物品位置  主属性 用途
12-01 21:39 消耗  日女巳时  15  一号位6星 攻击  御魂强化
12-01 21:38 消耗  日女巳时  0 二号位6星 生命加成  奉纳消耗
12-01 21:38 消耗  日女巳时  0 二号位6星 生命加成  奉纳消耗
12-01 21:38 获得  破势  0 六号位6星 暴击伤害  
12-01 21:38 获得  破势  0 六号位6星 生命加成  神秘商店购买
12-01 21:38 消耗  镜姬  0 五号位6星 生命  奉纳消耗
12-01 21:38 消耗  狰 0 五号位6星 生命  奉纳消耗
12-01 21:38 消耗  狰 0 五号位6星 生命  奉纳消耗
12-01 21:38 消耗  镜姬  0 五号位6星 生命  奉纳消耗
12-01 21:38 消耗  魍魉之匣  0 五号位6星 生命  奉纳消耗
12-01 21:38 消耗  反枕  0 五号位6星 生命  奉纳消耗
12-01 21:38 消耗  反枕  0 五号位6星 生命  奉纳消耗
12-01 21:37 消耗  树妖  0 三号位6星 防御  奉纳消耗
12-01 21:37 消耗  火灵  0 三号位6星 防御  奉纳消耗
12-01 21:37 消耗  钟灵  0 三号位6星 防御  奉纳消耗
12-01 21:37 消耗  阴摩罗 0 三号位6星 防御  奉纳消耗
12-01 21:37 消耗  木魅  0 三号位6星 防御  奉纳消耗
12-01 21:37 消耗  网切  0 三号位6星 防御  奉纳消耗
12-01 21:37 消耗  钟灵  0 三号位6星 防御  奉纳消耗
12-01 21:36 消耗  钟灵  0 五号位6星 生命  奉纳消耗
12-01 21:36 消耗  火灵  0 五号位6星 生命  奉纳消耗
12-01 21:36 消耗  钟灵  0 五号位6星 生命  奉纳消耗
12-01 21:36 消耗  钟灵  0 五号位6星 生命  奉纳消耗
12-01 21:36 消耗  鸣屋  0 五号位6星 生命  奉纳消耗
12-01 21:36 消耗  钟灵  0 五号位6星 生命  奉纳消耗
12-01 21:36 消耗  薙魂  0 五号位6星 生命  奉纳消耗
12-01 21:36 消耗  被服  0 五号位6星 生命  奉纳消耗
12-01 21:36 消耗  鸣屋  0 五号位6星 生命  奉纳消耗
12-01 21:36 消耗  火灵  0 五号位6星 生命  奉纳消耗
12-01 21:36 消耗  日女巳时  0 五号位6星 生命  奉纳消耗
12-01 21:35 消耗  木魅  0 一号位6星 攻击  奉纳消耗
12-01 21:35 消耗  心眼  0 一号位6星 攻击  奉纳消耗
12-01 21:35 消耗  木魅  0 一号位6星 攻击  奉纳消耗
12-01 21:35 消耗  狰 0 一号位6星 攻击  奉纳消耗
12-01 21:35 消耗  返魂香 0 一号位6星 攻击  奉纳消耗
12-01 21:35 消耗  狰 0 一号位6星 攻击  奉纳消耗
12-01 21:35 消耗  薙魂  0 一号位6星 攻击  奉纳消耗
12-01 21:35 消耗  薙魂  0 一号位6星 攻击  奉纳消耗
12-01 21:35 消耗  心眼  0 一号位6星 攻击  奉纳消耗
12-01 21:35 消耗  树妖  0 二号位6星 生命加成  奉纳消耗
12-01 21:35 消耗  返魂香 0 二号位6星 防御加成  奉纳消耗
12-01 21:35 消耗  返魂香 0 二号位6星 生命加成  奉纳消耗
12-01 21:35 消耗  返魂香 0 二号位6星 攻击加成  奉纳消耗
12-01 21:35 消耗  阴摩罗 0 二号位6星 防御加成  奉纳消耗
12-01 21:35 消耗  阴摩罗 0 二号位6星 生命加成  奉纳消耗
12-01 21:35 消耗  返魂香 0 二号位6星 攻击加成  奉纳消耗
12-01 21:35 消耗  树妖  0 二号位6星 攻击加成  奉纳消耗
12-01 21:35 消耗  针女  0 二号位6星 生命加成  奉纳消耗
12-01 21:35 消耗  魅妖  0 二号位6星 防御加成  奉纳消耗
12-01 21:35 消耗  针女  0 二号位6星 生命加成  奉纳消耗
12-01 21:35 消耗  返魂香 0 二号位6星 防御加成  奉纳消耗
12-01 21:35 消耗  树妖  0 二号位6星 生命加成  奉纳消耗
