时间 消耗/获得 御魂名称 御魂等级 物品位置 主属性 用途
12-13 19:21 获得 火灵 0 一号位5星 攻击 鬼王奖励
12-13 19:21 获得 魅妖 0 三号位6星 防御 鬼王奖励
12-13 15:35 获得 魅妖 0 二号位5星 防御加成 御魂副本
12-13 15:33 获得 魅妖 0 三号位5星 防御 御魂副本
12-13 15:32 获得 被服 0 三号位6星 防御 御魂副本
12-13 15:31 获得 阴摩罗 0 二号位5星 生命加成 御魂副本
12-13 15:30 获得 魅妖 0 三号位5星 防御 御魂副本
12-13 15:30 获得 魅妖 0 一号位5星 攻击 御魂副本
12-13 15:29 获得 魍魉之匣 0 四号位5星 攻击加成 御魂副本
12-13 15:29 获得 魅妖 0 三号位5星 防御 御魂副本
12-13 15:27 获得 被服 0 四号位5星 攻击加成 御魂副本
12-13 15:26 获得 被服 0 五号位5星 生命 御魂副本
12-13 15:22 获得 被服 0 一号位5星 攻击 御魂副本
12-13 15:18 获得 被服 0 四号位5星 攻击加成 御魂副本
12-13 15:16 获得 魅妖 0 三号位5星 防御 御魂副本
12-13 15:15 获得 被服 0 三号位6星 防御 御魂副本
12-13 15:15 获得 魅妖 0 六号位5星 生命加成 御魂副本
12-13 15:15 获得 阴摩罗 0 三号位5星 防御 御魂副本
12-13 15:15 获得 被服 0 二号位5星 防御加成 御魂副本
12-13 15:14 获得 被服 0 二号位5星 防御加成 御魂副本
12-13 15:14 获得 阴摩罗 0 四号位5星 攻击加成 御魂副本
12-13 15:13 获得 阴摩罗 0 四号位5星 攻击加成 御魂副本
12-13 15:12 获得 被服 0 五号位5星 生命 御魂副本
12-13 15:10 获得 魅妖 0 五号位5星 生命 御魂副本
12-13 15:10 获得 被服 0 四号位5星 防御加成 御魂副本
12-13 15:10 获得 魅妖 0 六号位5星 攻击加成 御魂副本
12-13 15:09 获得 阴摩罗 0 六号位5星 生命加成 御魂副本
12-13 15:08 获得 魅妖 0 一号位5星 攻击 御魂副本
12-13 15:07 获得 被服 0 四号位5星 攻击加成 御魂副本
12-13 15:05 获得 阴摩罗 0 二号位5星 防御加成 御魂副本
12-13 14:26 获得 被服 0 六号位5星 攻击加成 御魂副本
12-13 14:26 获得 魅妖 0 五号位5星 生命 御魂副本
12-13 14:24 获得 被服 0 五号位5星 生命 御魂副本
12-13 14:21 获得 魅妖 0 六号位5星 生命加成 御魂副本
12-13 14:21 获得 魍魉之匣 0 四号位5星 防御加成 御魂副本
12-13 14:20 获得 魍魉之匣 0 五号位5星 生命 御魂副本
12-13 14:18 获得 阴摩罗 0 一号位5星 攻击 御魂副本
12-13 14:17 获得 阴摩罗 0 四号位5星 生命加成 御魂副本
12-13 14:16 获得 魍魉之匣 0 六号位5星 攻击加成 御魂副本
12-13 14:16 获得 魍魉之匣 0 一号位5星 攻击 御魂副本
12-13 14:12 获得 魅妖 0 五号位5星 生命 御魂副本
12-13 14:12 获得 魍魉之匣 0 三号位5星 防御 御魂副本
12-13 14:11 获得 被服 0 一号位5星 攻击 御魂副本
12-13 14:10 获得 魅妖 0 五号位5星 生命 御魂副本
12-13 14:03 获得 阴摩罗 0 五号位5星 生命 御魂副本
12-13 14:03 获得 雪幽魂 0 四号位5星 攻击加成 
12-13 09:23 获得 狰 0 五号位5星 生命 
12-13 09:23 获得 地藏像 0 五号位5星 生命 
12-13 09:23 获得 地藏像 0 四号位5星 防御加成 
12-13 09:23 获得 雪幽魂 0 四号位5星 生命加成 
12-13 09:23 获得 鸣屋 0 三号位5星 防御 
12-13 02:03 获得 被服 0 四号位5星 防御加成 
12-13 02:00 获得 魅妖 0 六号位5星 攻击加成 
12-13 01:57 获得 被服 0 一号位5星 攻击 
12-13 01:54 获得 被服 0 六号位5星 生命加成 
12-13 01:49 获得 魍魉之匣 0 四号位5星 防御加成 
12-13 01:45 获得 魅妖 0 三号位5星 防御 
12-13 00:15 获得 雪幽魂 0 六号位5星 攻击加成 
12-13 00:15 获得 魅妖 0 一号位5星 攻击 
